id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
43325971,Bed and breakfast in Asheville · 1 bedroom · 1 bed · 1 bath,196608665,Diane,,28801,35.60585,-82.56466,Private room,322,1,2,2020-08-07,0.06,5,157,0,
43349933,Home in Candler · ★4.77 · 2 bedrooms · 2 beds · 2 baths,15788000,Lisa,,28715,35.50898,-82.65812,Entire home/apt,200,1,210,2023-06-03,5.69,6,170,46,
43355285,Rental unit in Asheville · ★4.71 · 1 bedroom · 2 beds · 1 bath,34871822,Emma,,28801,35.60092,-82.55776,Entire home/apt,50,30,7,2023-03-04,0.19,4,197,2,
43379372,Rental unit in Asheville · ★5.0 · 1 bedroom · 1 bed · 1 bath,63702802,Nadine,,28804,35.64896,-82.53877,Entire home/apt,74,30,3,2023-03-27,0.08,1,15,1,
43398372,Home in Asheville · ★5.0 · 1 bedroom · 1 bed · 1 bath,15565480,Nicole,,28803,35.54929,-82.50772,Entire home/apt,135,2,11,2022-09-14,0.47,3,0,4,
43403464,Rental unit in Asheville · ★4.98 · 1 bedroom · 1 bed · 1 bath,45101975,Frank,,28804,35.62884,-82.56641,Entire home/apt,152,3,66,2023-03-12,1.77,1,340,11,
43412676,Guest suite in Fletcher · ★5.0 · 2 bedrooms · 3 beds · 1 bath,44777426,Jan,,28732,35.46244,-82.46944,Entire home/apt,239,2,141,2023-06-10,3.78,1,173,35,
43430751,Home in Asheville · ★4.88 · 2 bedrooms · 2 beds · 1 bath,1766838,Monica,,28806,35.59979,-82.59503,Entire home/apt,199,2,33,2023-01-01,1.41,1,99,13,
43495845,Condo in Asheville · ★4.96 · 1 bedroom · 2 beds · 0 baths,343440528,Arras,,28801,35.59524,-82.55219,Entire home/apt,311,2,48,2023-04-09,1.29,10,298,12,
43496785,Cottage in Arden · ★4.96 · 3 bedrooms · 3 beds · 2 baths,77981939,Angie,,28704,35.46803,-82.57141,Entire home/apt,120,2,26,2023-05-29,1.70,1,147,20,
43525648,Cabin in Asheville · ★4.77 · 2 bedrooms · 2 beds · 2 baths,1767483,Becky,,28803,35.49586,-82.50945,Entire home/apt,245,4,57,2023-05-07,1.60,1,322,16,
43557709,Cottage in Asheville · ★5.0 · 2 bedrooms · 4 beds · 1 bath,94069776,Luis & Isabel,,28804,35.64235,-82.52091,Entire home/apt,180,1,251,2023-06-11,6.85,2,273,77,
43580801,Cabin in Asheville · ★4.91 · 1 bedroom · 1 bed · 1 bath,44117628,Kelly,,28806,35.59734,-82.65538,Entire home/apt,89,2,219,2023-06-12,5.90,2,346,66,
43589174,Cabin in Asheville · ★4.67 · 4 bedrooms · 5 beds · 3 baths,10603047,Greybeard,,28803,35.56373,-82.48758,Entire home/apt,442,3,3,2021-10-17,0.09,14,0,0,
43615196,Rental unit in Asheville · ★4.94 · 1 bedroom · 1 bed · 1 bath,23092470,April,,28801,35.59201,-82.55297,Entire home/apt,122,1,341,2023-06-14,9.29,4,229,106,
43624297,Home in Asheville · ★4.95 · 3 bedrooms · 4 beds · 3 baths,151397468,Evolve,,28805,35.63393,-82.47056,Entire home/apt,269,3,41,2023-05-29,1.13,18,293,11,
43636076,Guest suite in Asheville · ★4.87 · 1 bedroom · 1 bed · 1 bath,29405131,Radha,,28806,35.57759,-82.5892,Entire home/apt,85,2,82,2021-11-28,2.23,1,0,0,
43649028,Condo in Asheville · ★4.69 · 1 bedroom · 1 bed · 1 bath,1872084,Linda And Rafael,,28806,35.58117,-82.59856,Entire home/apt,99,2,113,2023-06-04,3.08,3,171,30,
43660421,Home in Asheville · ★4.97 · 3 bedrooms · 4 beds · 2 baths,348674813,Dewey,,28804,35.6256,-82.60846,Entire home/apt,233,2,119,2023-06-11,3.31,1,50,25,
43689886,Treehouse in Asheville · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,151279507,Bobby And Amanda,,28806,35.61182,-82.60355,Private room,29,1,46,2023-06-04,1.25,19,359,7,
43725058,Home in asheville · ★5.0 · 3 bedrooms · 3 beds · 3 baths,303909632,Pure Carolina,,28805,35.630531,-82.493797,Entire home/apt,259,2,4,2023-02-12,0.36,8,222,4,
43731923,Townhouse in Asheville · ★4.91 · 3 bedrooms · 4 beds · 3 baths,167186184,Towns,,28801,35.58674,-82.55116,Entire home/apt,295,1,78,2023-05-12,2.17,113,334,25,
43731925,Condo in Asheville · ★4.84 · 1 bedroom · 2 beds · 1 bath,167186184,Towns,,28801,35.59203,-82.55553,Entire home/apt,295,1,80,2023-05-21,2.18,113,350,16,
43747993,Condo in Asheville · ★4.89 · 1 bedroom · 2 beds · 1 bath,167186184,Towns,,28801,35.59254,-82.54926,Entire home/apt,249,1,93,2023-05-21,2.58,113,341,25,
43789016,Condo in Asheville · ★4.74 · 1 bedroom · 1 bed · 1 bath,346595064,Melynda,,28801,35.59804,-82.55587,Entire home/apt,160,2,186,2023-06-06,5.27,1,300,58,
43804580,Guest suite in Asheville · ★4.99 · 1 bedroom · 2 beds · 1 bath,76904981,Laura,,28803,35.48862,-82.50679,Entire home/apt,104,2,109,2023-06-10,3.41,1,228,50,
43813089,Home in Asheville · ★4.88 · 4 bedrooms · 5 beds · 3.5 baths,242474849,Jennifer And Erik,,28805,35.60246,-82.47042,Entire home/apt,402,1,92,2023-05-29,2.56,15,302,26,
43826270,Home in Woodfin · ★4.94 · 4 bedrooms · 5 beds · 3 baths,132719003,Sarah,,28804,35.63422,-82.5844,Entire home/apt,350,3,63,2023-05-29,1.76,1,190,19,
43832838,Home in Arden · ★4.95 · 3 bedrooms · 2 beds · 2 baths,110193904,Michael,,28704,35.45464,-82.60256,Entire home/apt,197,3,139,2023-02-24,3.84,1,0,36,
43835750,Home in Asheville · ★4.88 · 1 bedroom · 1 bed · 1 bath,350604174,Katrina,,28806,35.57759,-82.58942,Entire home/apt,120,1,363,2023-06-02,10.00,1,105,111,
43865961,Home in Asheville · ★4.81 · 1 bedroom · 1 bed · 1 private bath,43046775,Seay & Lisa,,28801,35.58418,-82.54963,Private room,110,2,57,2023-06-01,1.64,1,346,8,
43866492,Guest suite in Candler · ★5.0 · Studio · 3 beds · 1 bath,184144287,Joy,,28715,35.48771,-82.66981,Entire home/apt,89,2,5,2021-08-09,0.21,1,0,0,
